nome,caminho,tipo,tamanho,data_criacao,data_modificacao
seqghxfm,C:\Users\Cliente\eclipse-workspace\Job2_ED2\seqghxfm.jpg,jpg,13,2023-05-02,2023-05-07
qagnslzq,C:\Users\Cliente\eclipse-workspace\Job2_ED2\qagnslzq.pdf,pdf,40,2023-04-14,2023-05-02
hfcvwpuk,C:\Users\Cliente\eclipse-workspace\Job2_ED2\hfcvwpuk.doc,doc,91,2023-04-02,2023-05-18
qypqhxnl,C:\Users\Cliente\eclipse-workspace\Job2_ED2\qypqhxnl.txt,txt,69,2023-05-05,2023-05-08
vqniewuj,C:\Users\Cliente\eclipse-workspace\Job2_ED2\vqniewuj.doc,doc,59,2023-05-14,2023-05-14
rmadeegi,C:\Users\Cliente\eclipse-workspace\Job2_ED2\rmadeegi.txt,txt,88,2023-04-17,2023-04-24
qclxdwre,C:\Users\Cliente\eclipse-workspace\Job2_ED2\qclxdwre.jpg,jpg,85,2023-04-01,2023-05-06
udtpgdlh,C:\Users\Cliente\eclipse-workspace\Job2_ED2\udtpgdlh.txt,txt,35,2023-04-24,2023-05-02
bbldnthu,C:\Users\Cliente\eclipse-workspace\Job2_ED2\bbldnthu.pdf,pdf,47,2023-05-17,2023-05-18
wpskxdcy,C:\Users\Cliente\eclipse-workspace\Job2_ED2\wpskxdcy.txt,txt,78,2023-05-16,2023-05-17
qwooortc,C:\Users\Cliente\eclipse-workspace\Job2_ED2\qwooortc.doc,doc,96,2023-05-07,2023-05-16
dmngudyu,C:\Users\Cliente\eclipse-workspace\Job2_ED2\dmngudyu.txt,txt,9,2023-05-18,2023-05-18
eqyhytsx,C:\Users\Cliente\eclipse-workspace\Job2_ED2\eqyhytsx.jpg,jpg,49,2023-05-04,2023-05-05
gxvzvoey,C:\Users\Cliente\eclipse-workspace\Job2_ED2\gxvzvoey.pdf,pdf,75,2023-04-04,2023-04-08
darllicd,C:\Users\Cliente\eclipse-workspace\Job2_ED2\darllicd.jpg,jpg,74,2023-04-15,2023-05-14
nyxttgsq,C:\Users\Cliente\eclipse-workspace\Job2_ED2\nyxttgsq.png,png,53,2023-04-17,2023-04-26
